question,ground_truth,answer,sources,faithfulness,context_relevance,answer_relevance
What happens to invalid provisions in the farmer brothers board agreement?,"If any provision is held invalid or unenforceable, the other provisions remain in full force and effect. The parties agree to replace such invalid provision with a valid and enforceable provision that achieves the purposes of the invalid provision to the extent possible.","Invalid provisions are treated as follows: the agreement remains in effect except for the invalid portion, and the parties agree to replace any invalid or unenforceable provision with a valid and enforceable one that will achieve, to the extent possible, the same purpose. The rest of the agreement continues in full force and effect.","['farmer_brothers_board_agreement_2023.pdf', 'farmer_brothers_board_agreement_2023.pdf', 'farmer_brothers_board_agreement_2023.pdf']",0.8,1.0,1.0
What were the purchase terms for Firefly Neuroscience's acquisition of Evoke Neuroscience?,"The purchase terms were $6 million, paid 50% in cash and 50% in Firefly common stock priced at $3.50 per share, with eligibility for a $500,000 earn-out paid in cash if Evoke's acquired business achieves at least $3 million in annualized revenues within three years.","The purchase terms for Firefly Neuroscience’s acquisition of Evoke Neuroscience were:

- **Purchase price**: $6 million total, paid as 50 % in cash and 50 % in Firefly’s common stock at $3.50 per share.  
- **Earn‑out provision**: Evoke’s investors were eligible to receive a $500,000 earn‑out paid in cash if the acquired business achieved at least $3 million in annualized revenues within the next three years.","['firefly_neuroscience_current_report.pdf', 'firefly_neuroscience_current_report.pdf', 'firefly_neuroscience_current_report.pdf']",1.0,1.0,1.0
What did the Inuvo extension amendment to the Google Services Agreement change?,"The amendment extended the term of the Google Services Agreement for an additional one month from the then current expiration date, making the new expiration date July 31, 2023.","The amendment extended the Agreement’s term by one month.  
Specifically, it pushed the expiration date to July 31, 2023, and left all other terms of the Agreement unchanged.","['Inuvo_quarterly_contract.pdf', 'Inuvo_quarterly_contract.pdf', 'Inuvo_quarterly_contract.pdf']",1.0,1.0,1.0
Who signed the Inuvo extension amendment on behalf of the Company and Google?,"Dana Robbins, SVP Digital Publishing, signed on behalf of Vertro Inc. the Company, and Philipp Schindler, Authorized Signatory, signed on behalf of Google LLC.",The amendment was signed on behalf of the Company by **Dana Robbins** (SVP Digital Publishing) and on behalf of Google by **Philipp Schindler** (Authorized Signatory).,"['Inuvo_quarterly_contract.pdf', 'Inuvo_quarterly_contract.pdf', 'Inuvo_quarterly_contract.pdf']",1.0,1.0,1.0
Who was appointed to the Leet Technology board of directors and when?,"Elain Lockman was appointed to the Board of Directors of Leet Technology Inc. effective August 23, 2021.","Elain Lockman was appointed to the Leet Technology board of directors, effective **August 23, 2021**.","['Leet Technology Inc._current_report.pdf', 'Leet Technology Inc._current_report.pdf', 'Leet Technology Inc._current_report.pdf']",1.0,1.0,1.0
What academic qualifications does Elain Lockman hold?,Elain Lockman holds an MSc in Operational Research and a BSc in Actuarial Science from the London School of Economics.,Elain Lockman holds an **MSc in Operational Research** and a **BSc in Actuarial Science** (both earned from the London School of Economics).,"['Leet Technology Inc._current_report.pdf', 'Leet Technology Inc._current_report.pdf', 'Leet Technology Inc._current_report.pdf']",1.0,1.0,1.0
What is the reduced exercise price offered in the REIN Therapeutics warrant inducement?,"The reduced exercise price is $1.60 per share of Common Stock, as set forth in the Warrant Amendment.",The reduced exercise price offered in the REIN Therapeutics warrant inducement is **$1.60 per share of Common Stock**.,"['REIN THERAPEUTICS_current_report.pdf', 'REIN THERAPEUTICS_current_report.pdf', 'REIN THERAPEUTICS_current_report.pdf']",0.0,0.5,1.0
What happens if the holder fails to deliver the exercise notice in the REIN Therapeutics agreement?,"If the holder fails to deliver the counterpart signature, executed Exercise Notice, or cash payment on a timely basis, the offer will be deemed to be withdrawn and the Company shall have no obligation to deliver any shares of Common Stock upon exercise of the warrant at the reduced exercise price.","If the holder fails to deliver the required signature page to the letter agreement, the holder’s executed Exercise Notice, or the payment for the cash exercise price in a timely manner, the offer is deemed withdrawn. As a result, the Company has no obligation to deliver any shares of Common Stock to the holder upon exercise of the warrant at the reduced exercise price.","['REIN THERAPEUTICS_current_report.pdf', 'REIN THERAPEUTICS_current_report.pdf', 'REIN THERAPEUTICS_current_report.pdf']",1.0,0.5,0.5
What governing law applies to the REIN Therapeutics letter agreement?,The letter agreement and any action or proceeding arising out of or relating to it shall be exclusively governed by the laws of the State of New York.,I could not find this information in the provided contracts.,"['REIN THERAPEUTICS_current_report.pdf', 'farmer_brothers_board_agreement_2023.pdf', 'farmer_brothers_board_agreement_2023.pdf']",0.0,0.0,0.0
Why did Capital A Berhad terminate the Aetherium business combination agreement?,"Capital A Berhad terminated the agreement with reference to Section 9.1(h) of the Business Combination Agreement, relating to Aetherium previously receiving a written determination by Nasdaq to delist Aetherium's securities for failure to meet a continued listing standard.",Capital A Berhad terminated the business combination agreement because Aetherium had failed to meet Nasdaq’s continued‑listing standard – a shortcoming that stemmed from Capital A’s own delays in timely filing the required Form F‑4 registration statement with the SEC.  The decision was made under Section 9.1(h),"['Aetherium Acquisition Corp_current_report.pdf', 'Aetherium Acquisition Corp_current_report.pdf', 'Aetherium Acquisition Corp_current_report.pdf']",0.8,0.5,1.0
